species,s__Apogon_semilineatus,s__Barbatula_barbatula,s__Barbatula_nuda,s__Barbatula_toni,s__Barbodes_semifasciolatus,s__Carassius_carassius,s__Carassius_cuvieri,s__Carassius_gibelio,s__Carassius_langsdorfii,s__Chanodichthys_ilishaeformis,s__Chanodichthys_mongolicus,s__Cirrhinus_mrigala,s__Cobitis_choii,s__Coptodon_zillii,s__Coreius_heterodon,s__Cottus_asper,s__Cottus_czerskii,s__Cottus_poecilopus,s__Cottus_rhotheus,s__Ctenopharyngodon_idella,s__Cyprinus_carpio,s__Decapterus_maruadsi,s__Elopichthys_bambusa,s__Gobio_gobio,s__Gymnocypris_dobula,s__Gymnocypris_namensis,s__Hemibagrus_macropterus,s__Hemiculter_eigenmanni,s__Hemiculter_leucisculus,s__Hypophthalmichthys_molitrix,s__Hypophthalmichthys_nobilis,s__Labeo_bata,s__Lagocephalus_inermis,s__Lagocephalus_spadiceus,s__Lates_calcarifer,s__Lefua_costata,s__Luciocyprinus_langsoni,s__Luciocyprinus_striolatus,s__Megalobrama_terminalis,s__Mesogobio_lachneri,s__Micropterus_salmoides,s__Misgurnus_anguillicaudatus,s__Misgurnus_bipartitus,s__Misgurnus_mizolepis,s__Mugilogobius_chulae,s__Mugilogobius_myxodermus,s__Mylopharyngodon_piceus,s__Niwaella_delicata,s__Niwaella_nigrolinea,s__Ochetobius_elongatus,s__Onychostoma_simum,s__Opsariichthys_uncirostris,s__Oreochromis_niloticus,s__Oryzias_curvinotus,s__Parabramis_pekinensis,s__Paramisgurnus_dabryanus,s__Perccottus_glenii,s__Phoxinus_phoxinus,s__Phoxinus_semotilus,s__Phoxinus_steindachneri,s__Planiliza_affinis,s__Psenopsis_anomala,s__Pseudobrama_simoni,s__Pseudohemiculter_dispar,s__Pseudolaubuca_sinensis,s__Pseudorasbora_parva,s__Pterois_volitans,s__Puntius_snyderi,s__Rhinogobius_cliffordpopei,s__Rhinogobius_similis,s__Rhodeus_ocellatus,s__Rhodeus_sericeus,s__Rhodeus_uyekii,s__Rhynchocypris_lagowskii,s__Rhynchocypris_percnurus,s__Sardinella_fijiensis,s__Sarotherodon_galilaeus,s__Saurida_undosquamis,s__Schizothorax_macropogon,s__Schizothorax_oconnori,s__Schizothorax_sinensis,s__Schizothorax_waltoni,s__Setipinna_tenuifilis,s__Siganus_fuscescens,s__Sinibotia_pulchra,s__Sinibotia_reevesae,s__Sinibotia_robusta,s__Sinibotia_superciliaris,s__Sinibrama_taeniatus,s__Siniperca_obscura,s__Spinibarbus_sinensis,s__Squaliobarbus_curriculus,s__Tachysurus_eupogon,s__Trachinotus_carolinus,s__Triplophysa_bleekeri,s__Triplophysa_dalaica,s__Upeneus_japonicus,s__Xenocypris_fangi,s__Xenocypris_yunnanensis,s__Zacco_platypus
BB3,0,0,0,0.000395622,0.002505605,0.001186865,0,0.001186865,0,0.000923117,0,0,0.000131874,0.002373731,0.000131874,0,0,0,0,0.00435184,0.073453778,0.005274957,0.010945536,0.000131874,0,0.000131874,0.000131874,0.054463932,0.000395622,0.016616115,0.063958855,0.000131874,0,0.001054991,0.000791244,0.004088092,0,0.000131874,0.000131874,0.000131874,0,0,0.082948701,0,0.008176184,0,0.000263748,0,0,0,0.027034155,0.001318739,0.054859554,0,0.000263748,0,0.053408941,0,0.000527496,0.000131874,0,0.004747461,0.065145721,0,0.002373731,0,0,0,0.007121192,0.063299486,0,0.000263748,0,0.016616115,0.00065937,0,0.0030331,0.000923117,0,0,0,0,0,0.07015693,0,0.000131874,0,0.001054991,0,0.116576553,0.004483714,0.016484241,0.072926282,0,0,0.001318739,0.066728208,0.011868654,0,0
BD3,0,0.000698162,0.000814522,0.127705376,5.81801E-05,0.045496858,0.000523621,0.000930882,0.000523621,0.001454503,0.000930882,0,0,0,0,0,0,0,0,5.81801E-05,0.04636956,0.017570398,0,0,0,0,0,0.109087736,0.000698162,0.001105422,0,0,0.00011636,0,0,5.81801E-05,0.000232721,0,0,0,0,0.002618106,0,0.131254364,0,0,0,0,0,0,0.000465441,0,0.371712823,0,0,0.000639981,5.81801E-05,0,0,0,0,0,0,0,0,0.083721201,0.00011636,0,0.000581801,0.001512683,0,0,0,0.003083547,0,0,5.81801E-05,0,0,0.000232721,0.000349081,0,0.000639981,0,5.81801E-05,0,5.81801E-05,0,0,0.000756342,0,0.000407261,0,0.047242262,0,0,0,0,0,0
BN3,0,0,0,0.000465441,0.001861764,0.000930882,0,0.000232721,0,0.000232721,0,0,0,0.001396323,0,0,0,0,0,0.000930882,0.003723528,0.002559926,0,0,0,0,0,0.000698162,0,0.000232721,0.000232721,0,0,0.001396323,0.000232721,0.001629044,0,0,0,0,0,0,0.000930882,0,0.003258087,0,0,0,0,0,0.000465441,0.000698162,0.000232721,0,0,0,0.001163603,0,0,0,0,0.003723528,0.003723528,0,0,0,0,0,0.293460554,0.113102164,0,0.000232721,0.000232721,0.003490808,0,0,0.000465441,0.006981615,0,0,0,0,0,0.000698162,0,0,0,0.000930882,0,0.000698162,0.541075169,0.001629044,0,0,0,0.000232721,0.000232721,0.005585292,0,0
CS3,0,0,0,7.53636E-05,0.000376818,0.000301455,0,0,0,0.000301455,7.53636E-05,0,0,0.000150727,0,0,0,0,0,0.118848444,0.001130454,0.253447886,7.53636E-05,0,0,0,0,0.000376818,0,0.000301455,0.000602909,7.53636E-05,0,7.53636E-05,0.000226091,0.000602909,0,0,0,0,0,0,0.000452182,0,0.000452182,0,0,0,0,0,7.53636E-05,0.000150727,0.000150727,0,0,0,0.000301455,0,0,0,0,0.000376818,0.209963072,0,0,0,0,0,0.000904364,0.000527545,0,7.53636E-05,7.53636E-05,0.401311327,0,0,0.000226091,7.53636E-05,0,0,0,0,0,0.000150727,0,0,0,0.000150727,0,0.000376818,0.000904364,0.001130454,0.000226091,0,0,7.53636E-05,0.000150727,0.004672545,0,0
CT3,0,0,0,7.22648E-05,0.000867177,0.000289059,0,0.000433589,7.22648E-05,0.000289059,0,0,0.001373031,0.000505853,7.22648E-05,0,0,0,0,0.000650383,0.083321289,0.000794913,0,0,0,0,7.22648E-05,0.000650383,0,0.000216794,0.000867177,0.00014453,0,0.00014453,0.000361324,0.001373031,0.000433589,0,0,0,0,0,0.000939442,0,0.496964879,0,0,0.001011707,0.00166209,0,0.000289059,0.000505853,0.00014453,0,0,0,0.000505853,0,0,0,0,0.333574216,0.015103339,0,0,0,0,0,0.001589825,0.005058534,0,0.00014453,0,0.001878884,0,0,7.22648E-05,0.038155803,0,0,0,0,0,0.00014453,0,0,0,0.000361324,0,0.000289059,0.001083972,0.000722648,0.000289059,0,0,0.000578118,0.000361324,0.005492123,7.22648E-05,0
FD3,0,0.000360707,0.001923771,0.194421065,0.020199591,0.021762655,0,0.001322592,0.000360707,0.002645185,0,0,0,0.005049898,0.000721414,0,0,0,0,0.001202357,0.348923891,0.000360707,0.000120236,0,0,0,0,0,0.000240471,0.011422388,0.002404713,0,0,0.003126127,0.001803535,0.008296261,0.00084165,0,0,0,0,0,0.012264038,0,0.000360707,0,0.000240471,0,0,0.000360707,0.000120236,0.001803535,0.001442828,0,0,0,0.00276542,0.101599134,0,0.001202357,0,0.000240471,0.022123362,0.000601178,0.001322592,0,0,0.000240471,0.006853433,0.002524949,0,0.001442828,0,0.191054467,0.000120236,0,0.002044006,0.000120236,0,0,0,0,0,0.000120236,0,0,0,0.002524949,0.000120236,0.000120236,0.000240471,0.010460503,0,0,0,0.005290369,0.001923771,0.000480943,0.000360707,0
FJ3,0.001947754,0,0,0.006530706,0.003437214,0.035059578,0,0.001718607,0.000114574,0.000114574,0.000687443,0,0,0,0,0,0,0.003093492,0,0.000458295,0.183547204,0,0,0,0.001031164,0.041704858,0,0.004697525,0,0.00091659,0,0,0.000114574,0,0,0.062557287,0,0,0,0,0.103230981,0.001833181,0.120646196,0.000229148,0,0.000802016,0,0,0,0,0.000229148,0,0.000458295,0.033455545,0,0,0.004697525,0,0,0,0.001718607,0,0,0.000114574,0,0.000687443,0.003895509,0,0.004926673,0.183088909,0.059692942,0,0,0.008134739,0,0,0.068744271,0,0.044340055,0.000114574,0.000114574,0,0.000343721,0,0.004926673,0,0.005728689,0,0,0,0,0.000114574,0,0,0,0,0,0,0,0
FL3,0,0,8.70398E-05,0.001653756,0.000261119,0.00017408,0,0.00017408,0.00017408,0,0,0,0,0,0,0,0,0,0,8.70398E-05,0.65619288,8.70398E-05,0.000435199,8.70398E-05,0,0,0,0.001653756,8.70398E-05,0.004874228,0.002872313,0,8.70398E-05,0,0,8.70398E-05,8.70398E-05,0,0,0,0,0.000261119,0.116285142,0,0,0,8.70398E-05,0,0,0,0.001392636,8.70398E-05,0.001653756,0,0,0,0.000696318,0.001305597,0,0.001305597,0,0.000261119,0.013752285,8.70398E-05,0.05840369,0,0,0,0.000348159,0.000957438,0,0,0,0.122900165,0.000261119,0,8.70398E-05,0,0,0,8.70398E-05,0,0,0.001740796,0,0,8.70398E-05,0,8.70398E-05,0.002350074,0.00017408,0.000609278,0.002175994,0,0,0,0.002263034,0.000957438,0.00017408,0
JTW3,0,0,0.000517479,0.020871665,0.076356946,0.052897884,0,0.007359706,5.74977E-05,0.019434223,0.000114995,0,0,0.054910304,0.010637075,0,0,0,0,0.005289788,0.084924103,0.001379945,0.000172493,0,0,0.001437443,0,0.000862466,0.000229991,0.000517479,0.019319227,0,0,0.028346366,0.025298988,0.091823827,0.000574977,0.000114995,0,0,0,0,0.048068077,0,0.003219871,0,0.000459982,0,0,0,0.000574977,0.017076817,0.019319227,0,0.000287489,0,0.03076127,0.000919963,0.000229991,0.000689972,0,0.002127415,0.003219871,0,0,0,0,0.001724931,0.057670193,0.022194112,0,0.018456762,0.002932383,0.047665593,0.000344986,0,0.026621435,0.000459982,0,0,0,0,0,0.000632475,0,0.000402484,0,0.022539098,0,0.000574977,0.001609936,0.098436063,0.000574977,0,0,0.044273229,0.015581877,0.006784729,0,0.000114995
LH3,0,0,0,0.000108956,0.001852255,0.000653737,0,0.000108956,0,0.001307474,0,0.000326869,0,0.001198518,0.000217912,0,0,0,0,0.001634343,0.005120941,0.00315973,0.000653737,0,0,0,0,0.002397036,0.000108956,0.006210503,0.00457616,0.000108956,0,0.00087165,0.000326869,0.002505993,0.000108956,0,0.001198518,0.000108956,0,0,0.000980606,0,0.003595555,0,0.001198518,0,0,0,0.000326869,0.000980606,0.00087165,0,0,0,0.001416431,0,0,0,0,0.003813467,0.015144912,0,0,0,0,0,0.231531924,0.104380039,0,0.000544781,0,0.007626934,0,0.00087165,0.000217912,0.000326869,0,0,0,0,0,0.000326869,0,0,0,0.000435825,0,0.000980606,0.002505993,0.003595555,0.00087165,0,0,0.001634343,0.000653737,0.579864894,0.000435825,0
WS3,9.96512E-05,0,0,0.004384654,0.000298954,0.157050324,0.001694071,0.005281515,0.001096163,0.002790234,0.00159442,0,0,0,0,0,0,0,0,9.96512E-05,0.069157947,0.000199302,0,0,0,0,0,0.002889885,0,0.065072247,0.000298954,0,0.038863976,0,0,9.96512E-05,0,0,0,0,9.96512E-05,0.164623817,0,0.004982561,0,0,0,0,0,0,0.001096163,0,0.007075237,0,0,0,9.96512E-05,0,0,0.000298954,0,0,0,0,0,0.003089188,0.000199302,0,0.00159442,0.076432486,0,0,0,0.197309417,0,0,0,0,0.000597907,0.003886398,0.131141006,0.001295466,0.001096163,0,0,0,0,0,9.96512E-05,0.051121076,0,0.002192327,0,0.000697559,0,0,0,0,0,0
WZ3,0.044852914,0.000149137,0.001081242,0.180679318,0.074232877,0.000111853,3.72842E-05,0.000186421,0.003542001,0.000149137,0.000447411,0,0,0,0,0.000149137,0.000186421,0.100182693,0.000111853,0.000671116,0.035904702,0,0,0,0,0.000335558,0,0.07479214,0.000745684,0.000745684,0,0,0,0,0,0.001342232,3.72842E-05,0,0,0,0.000186421,0.000186421,0.000223705,3.72842E-05,0,0.000186421,0,0,0,0.000223705,0,0,0,3.72842E-05,0,0,0.110100295,0,0,7.45684E-05,0.038477313,0,0,3.72842E-05,0,0,0.07646993,0,0.023787331,0.004324969,0.000149137,0,0,0.107341262,0,0,7.45684E-05,0,0.000149137,3.72842E-05,0,0,0,0,0.111927221,0,0.001118527,0,0,0.001976064,0,0.002199769,0,0,0,0,0,0,0,0
XZY3,0,7.22022E-05,7.22022E-05,0.005270758,0,0.002093863,7.22022E-05,0.000505415,0.001588448,0.253574007,0.004765343,0,0,0,0,0,0,0.000216606,0,0.002021661,0.013212996,0.000288809,0,0,0,7.22022E-05,0,0.008592058,0.000505415,0.006642599,0,0,0.000216606,0,0,0.003898917,0.000144404,0,0,0,0,0.132202166,0,0.002743682,0,0.002021661,0,0,0,0,0.002310469,0,0.00433213,0,0,7.22022E-05,0.000144404,0,0,0.000649819,0,0,0,0.000288809,0,0.002527076,7.22022E-05,0,0.011552347,0.174151625,0,0,0,0.340649819,0,0,0,0,0.000433213,0.000866426,0.001371841,0,0.001299639,0,0.000216606,0,0.012635379,0,0.000722022,0.001083032,0,0.002382671,0,0.000649819,0.000794224,0,0,0,0,0
YJC3,0.002304833,0.000669145,0.002304833,0.200817844,0.007211896,0.002304833,0.000966543,0.001933086,0.113828996,0.00267658,0.001115242,0,0,0,0,0,0,0.009888476,0,0,0.264981413,0,0,0,0,0,0,0.010855019,0.000743494,0.001263941,7.43494E-05,0,0,0,0,7.43494E-05,0,0,0,0,7.43494E-05,0.003568773,0.000148699,0.00267658,0,0,0,0,0,0.000223048,0.001263941,0,0.005130112,0,0,0,0.007286245,0,0,0.000520446,0.00267658,0,0,0,0,0.003420074,0.004981413,0,0.072565056,0.067657993,7.43494E-05,0,0,0.01464684,0,0,0.000148699,0,0,0.000743494,0.000817844,0,0.001561338,0,0.0066171,0,0.000223048,0,0,0.0733829,0,0.104684015,0,0.000297398,7.43494E-05,0,0.000520446,0,0,0
YW3,0,0.000759109,0,0.019989879,0.000253036,0.026821862,0.000253036,0.002783401,0.013157895,0.012398785,0.00784413,0,0,0,0,0,0,0.000253036,0,0.000253036,0.275303644,0.001771255,0,0,0,0.009362348,0,0.010880567,0.000759109,0.004807692,0,0,0.002024291,0,0,0.007338057,0,0,0,0,0.01417004,0.090080972,0.020748988,0.011892713,0,0,0,0,0,0,0.009868421,0,0.053390688,0.002783401,0,0,0.000253036,0,0,0,0.000253036,0,0,0,0,0.016700405,0.001012146,0,0.008856275,0.273785425,0.005060729,0,0,0.031123482,0,0,0.009615385,0,0.013663968,0.003036437,0.006072874,0,0.010374494,0,0.000506073,0,0.001265182,0,0,0.00784413,0,0.006325911,0,0.004301619,0,0,0,0,0,0
YY3,0.000832871,0,0,0.003123265,0.001318712,0.000138812,0,6.94059E-05,0.000138812,0.009578012,0.045530261,0,0,0,0,0,0,0.001041088,0,0.046154914,0.004372571,6.94059E-05,0,0,0,0,0,0.003747918,0.000277624,0.048237091,0.000416435,0,0,0,0,0.123056635,0.000624653,0,0,0,0.000277624,0.008120489,0.000555247,0.000347029,0,0.024639089,0,0,0,0,0,0,6.94059E-05,6.94059E-05,0,0,0.001596335,0,0,0.000277624,0.000763465,0,0,0.004580788,0,0.000347029,0.000694059,0,0.200721821,0.105011105,6.94059E-05,0,0,0.133189895,0,0,0.000208218,0,0.000416435,6.94059E-05,6.94059E-05,0,0,0,0.004094947,0,0.223070516,0,0.001665741,6.94059E-05,0,0.000138812,0,6.94059E-05,6.94059E-05,0,0,0,0,0
ZG3,0,0,0,0.00140176,0,0.000856631,7.78756E-05,0.000389378,0.001090258,0.001168133,0.12561327,0,0,0,0,0,0,0,0,0,0.072268515,0,0,0,0,0,0,0.000623004,0.000311502,0.000389378,0,0,0.000233627,0,0,0,0.000233627,0,0,0,0,0.001635387,7.78756E-05,0.000778756,0,0,0,0,0,0,0.152558212,0,0.129195546,0,0,0,0,0,0,0,0,0,0,0,0,0.253173429,0,0,0.000467253,0.051086364,0,0,0,0.002725644,0,0,0,0,0,0.000155751,0.000545129,0,0.201152558,0,0,0,0,0,0,0.000934507,0,0.000623004,0,0.000233627,0,0,0,0,0,0
ZX3,0,0,0,0.005547258,0.000426712,0,0,0.000213356,0,0,0,0,0,0,0,0,0,0,0,0.000426712,0.031149989,0.000213356,0.000213356,0,0,0,0,0.000426712,0,0.221463623,0.000640068,0,0,0,0,0,0.000213356,0,0,0,0,0,0.003200341,0,0.000426712,0,0,0,0,0,0.000213356,0,0,0,0,0,0,0.001280137,0,0,0,0,0.64518882,0.000213356,0.001920205,0,0,0,0.012374653,0.009387668,0,0,0,0.017495199,0,0,0.000213356,0.000213356,0,0,0,0,0.000213356,0,0,0,0,0,0.004053766,0,0.000213356,0.000426712,0,0,0,0,0,0.041391082,0.000640068,0
